userid,college,status
40_NY_0,University of Richmond,accepted
40_NY_0,New York University,accepted
40_NY_0,Reed College,accepted
40_NY_0,Barnard College,accepted
40_NY_0,Smith College,accepted
40_NY_0,Moravian College,accepted
40_NY_0,Florida Gulf Coast University,accepted
40_NY_0,Suffolk University,accepted
40_NY_0,University of Hartford,accepted
40_NY_0,Gannon University,denied
40_NY_1,Texas Christian University,accepted
40_NY_1,University of Central Florida,accepted
40_NY_1,Indiana University Bloomington,accepted
40_NY_1,Kalamazoo College,accepted
40_NY_1,Saint Louis University,accepted
40_NY_1,Illinois College,accepted
40_NY_1,Stevenson University,accepted
40_NY_1,"University of Nevada, Las Vegas",accepted
40_NY_1,Central Connecticut State University,accepted
40_NY_1,Williams College,denied
40_NY_2,Kalamazoo College,accepted
40_NY_2,University of Central Florida,accepted
40_NY_2,Indiana University Bloomington,accepted
40_NY_2,Texas Christian University,accepted
40_NY_2,Saint Louis University,accepted
40_NY_2,Illinois College,accepted
40_NY_2,Stevenson University,accepted
40_NY_2,Williams College,denied
40_NY_2,"University of Nevada, Las Vegas",accepted
40_NY_2,Central Connecticut State University,accepted
40_NY_3,Texas Christian University,accepted
40_NY_3,Centre College,accepted
40_NY_3,University of Central Florida,accepted
40_NY_3,Indiana University Bloomington,accepted
40_NY_3,American University,accepted
40_NY_3,Illinois College,accepted
40_NY_3,Stevenson University,accepted
40_NY_3,"University of Nevada, Las Vegas",accepted
40_NY_3,Williams College,denied
40_NY_3,Central Connecticut State University,accepted
40_NY_4,Texas Christian University,accepted
40_NY_4,University of Central Florida,pending
40_NY_4,Indiana University Bloomington,accepted
40_NY_4,Kalamazoo College,accepted
40_NY_4,Missouri University of Science and Technology,pending
40_NY_4,Stevenson University,accepted
40_NY_4,"University of Nevada, Las Vegas",accepted
40_NY_4,Vassar College,denied
40_NY_4,Central Connecticut State University,accepted
40_NY_4,Williams College,denied
40_NY_5,Texas Christian University,accepted
40_NY_5,University of Central Florida,accepted
40_NY_5,Indiana University Bloomington,accepted
40_NY_5,Kalamazoo College,accepted
40_NY_5,Saint Louis University,accepted
40_NY_5,Illinois College,accepted
40_NY_5,Stevenson University,accepted
40_NY_5,"University of Nevada, Las Vegas",accepted
40_NY_5,Central Connecticut State University,pending
40_NY_5,Williams College,denied
40_NY_6,University of Central Florida,accepted
40_NY_6,Indiana University Bloomington,accepted
40_NY_6,Texas Christian University,accepted
40_NY_6,Kalamazoo College,accepted
40_NY_6,Saint Louis University,accepted
40_NY_6,Illinois College,accepted
40_NY_6,Stevenson University,accepted
40_NY_6,"University of Nevada, Las Vegas",pending
40_NY_6,Central Connecticut State University,accepted
40_NY_6,Williams College,denied
40_NY_7,Texas Christian University,pending
40_NY_7,Centre College,accepted
40_NY_7,University of Central Florida,accepted
40_NY_7,Indiana University Bloomington,pending
40_NY_7,American University,accepted
40_NY_7,Iona College,accepted
40_NY_7,Illinois College,accepted
40_NY_7,Carnegie Mellon University,denied
40_NY_7,Stevenson University,accepted
40_NY_7,Princeton University,denied
40_NY_8,Texas Christian University,accepted
40_NY_8,University of Central Florida,accepted
40_NY_8,Indiana University Bloomington,accepted
40_NY_8,Kalamazoo College,accepted
