id,name,size,admis_num,admis_percent,cost_gen,cost_instate,cost_outstate,location,majors,ranking,testscores,avg_gpa,completion_percent,ctype,med_debt
,Barnard College,2604,1157.3999999999999,0.15,78044,-1,-1,"New York, NY","[""African Studies\nAmerican/United States Studies/Civilization\nAncient/Classical Greek Language and Literature\nAnthropology\nArchitecture\nArt History, Criticism and Conservation\nAsian Studies/Civilization\nAstronomy\nAstrophysics\nBiochemistry\nBiology/Biological Sciences, General\nChemistry, General\nClassics and Classical Languages, Literatures, and Linguistics, General\nComparative Literature\nComputer and Information Sciences, General\nDance, General\nDrama and Dramatics/Theatre Arts, General\nEconomics, General\nEducation, General\nEnglish Language and Literature, General\nEnvironmental Biology\nEnvironmental Science\nEuropean Studies/Civilization\nFilm/Cinema/Video Studies\nFrench Language and Literature\nFrench Studies"",""German Language and Literature\nGerman Studies\nHistory, General\nItalian Language and Literature\nJewish/Judaic Studies\nLatin American Studies\nLatin Language and Literature\nMathematics, General\nMedieval and Renaissance Studies\nMulti-/Interdisciplinary Studies, General\nMusic, General\nNeuroscience\nPhilosophy\nPhysics, General\nPolitical Science and Government, General\nPsychology, General\nReligion/Religious Studies\nRussian Language and Literature\nSlavic Studies\nSociology\nSpanish Language and Literature\nStatistics, General\nUrban Studies/Affairs\nVisual and Performing Arts, General\nWomen's Studies""]",51,"{""avg_gpa"":4,""sat_math"":{""avg"":-1,""lrange"":""650"",""rrange"":""740""},""sat_ebrw"":{""avg"":""704"",""lrange"":""660"",""rrange"":""760""},""act_composite"":{""avg"":""31"",""lrange"":""30"",""rrange"":""33""}}",,0.87,Private non-profit,20829
,American University,8287,6074.88,0.32,66478,-1,-1,"Washington, DC","[""Accounting\nAfrican-American/Black Studies\nAmerican/United States Studies/Civilization\nAnthropology\nApplied Mathematics, General\nArabic Language and Literature\nArt History, Criticism and Conservation\nAsian Studies/Civilization\nBiochemistry\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nBusiness, Management, Marketing, and Related Support Services, Other\nChemistry, General\nCinematography and Film/Video Production\nComputational Science\nComputer and Information Sciences, General\nCriminal Justice/Safety Studies\nDance, General\nDesign and Visual Communications, General\nDrama and Dramatics/Theatre Arts, General\nEconometrics and Quantitative Economics\nEconomics, General\nElementary Education and Teaching\nEnvironmental Science\nEnvironmental Studies\nEthnic, Cultural Minority, Gender, and Group Studies, Other\nFinance, General\nFinancial Mathematics\nFine/Studio Arts, General\nFrench Language and Literature\nFrench Studies\nGeneral Literature\nGerman Language and Literature\nGerman Studies\nGraphic Design\nHistory, General\nInternational Public Health/International Health"",""International Relations and Affairs\nJewish/Judaic Studies\nJournalism\nLatin American Studies\nLegal Studies, General\nLiberal Arts and Sciences/Liberal Studies\nMass Communication/Media Studies\nMathematics, General\nMulti-/Interdisciplinary Studies, Other\nMusic History, Literature, and Theory\nMusic Technology\nMusic, General\nMusical Theatre\nNear and Middle Eastern Studies\nNeuroscience\nPhilosophy\nPhysics, General\nPolitical Science and Government, General\nPre-Dentistry Studies\nPre-Medicine/Pre-Medical Studies\nPre-Veterinary Studies\nPsychology, General\nPublic Health Education and Promotion\nPublic Health, General\nRecording Arts Technology/Technician\nReligion/Religious Studies\n Russian Language and Literature\nRussian Studies\nSecondary Education and Teaching\nSocial Sciences, General\nSociology\nSpanish Language and Literature\nSpeech Communication and Rhetoric\nStatistics, General\nTeaching English as a Second or Foreign Language/ESL Language Instructor\nWomen's Studies""]",131,"{""avg_gpa"":3.65,""sat_math"":{""avg"":-1,""lrange"":""590"",""rrange"":""680""},""sat_ebrw"":{""avg"":""661"",""lrange"":""630"",""rrange"":""700""},""act_composite"":{""avg"":""29"",""lrange"":""27"",""rrange"":""31""}}",,0.75,Private non-profit,35122
,Berry College,1978,2407.46,0.62,53540,-1,-1,"Mount Berry, GA","[""Accounting\nArt Teacher Education\nArt/Art Studies, General\nBiochemistry\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nBusiness/Managerial Economics\nChemistry, General\nCommunication, Journalism, and Related Programs, Other\nCreative Writing\nEarly Childhood Education and Teaching\nEngineering Technology, General\nEnglish Language and Literature, General\nEnvironmental Science\nFinance, General\nFrench Language and Literature\nGerman Language and Literature\nHistory, General\nInternational Business/Trade/Commerce\nInternational Relations and Affairs\nJunior High/Intermediate/Middle School Education and Teaching\nKinesiology and Exercise Science\nMarketing/Marketing Management, General"",""Mathematics Teacher Education\nMathematics, General\nMathematics, Other\nMulti-/Interdisciplinary Studies, General\nMulti-/Interdisciplinary Studies, Other\nMusic Management\nMusic Teacher Education\nMusic, General\n Philosophy and Religious Studies, General\nPhilosophy and Religious Studies, Other\nPhysics, General\nPhysics, Other\nPolitical Science and Government, General\nPre-Nursing Studies\nPsychology, General\nRegistered Nursing/Registered Nurse\nSecondary Education and Teaching\nSocial Sciences, General\nSpanish Language and Literature\nSport and Fitness Administration/Management\nSustainability Studies\nTheatre/Theatre Arts Management\nZoology/Animal Biology""]",401-500,"{""avg_gpa"":3.74,""sat_math"":{""avg"":-1,""lrange"":""550"",""rrange"":""640""},""sat_ebrw"":{""avg"":""618"",""lrange"":""570"",""rrange"":""660""},""act_composite"":{""avg"":""26"",""lrange"":""24"",""rrange"":""29""}}",,0.57,Private non-profit,26858
,"California State University, Fresno",21528,10114.74,0.54,NaN,-1,-1,"Fresno, CA","[""Accounting\nAfrican-American/Black Studies\nAgricultural Business and Management, General\nAgricultural Teacher Education\nAgronomy and Crop Science\nAnimal Physiology\nAnimal Sciences, General\nAnthropology\nArt/Art Studies, General\nAudiology/Audiologist and Speech-Language Pathology/Pathologist\nBiological and Physical Sciences\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nCell/Cellular Biology and Histology\nChemistry, General\nChild Development\nCivil Engineering, General\nCognitive Science\nCommercial and Advertising Art\nCommunication Sciences and Disorders, General\nComputer Engineering, General\nComputer Science\nComputer and Information Sciences, General\nConstruction Engineering Technology/Technician\nConstruction Management\nCriminal Justice/Safety Studies\nCriminology\nDance, General\nDietetics/Dietitian\nDrama and Dramatics/Theatre Arts, General\nEcology\nEconomics, General\nElectrical and Electronics Engineering\nEnglish Language and Literature, General\nEnvironmental Science\nFamily and Consumer Economics and Related Services, Other\nFinance, General\nFoods, Nutrition, and Wellness Studies, General\nFrench Language and Literature\nGeography\nGeology/Earth Science, General\nGraphic Design\nHealth Professions and Related Clinical Sciences, Other\nHispanic-American, Puerto Rican, and Mexican-American/Chicano Studies"",""History, General\nHorticultural Science\nHuman Resources Management/Personnel Administration, General\nIndustrial Technology/Technician\nInterior Design\nInternational Business/Trade/Commerce\nJournalism\nLiberal Arts and Sciences/Liberal Studies\nLinguistics\nManagement Information Systems, General\nMarketing/Marketing Management, General\nMass Communication/Media Studies\nMathematics, General\nMechanical Engineering\nMolecular Biology\nMusic Teacher Education\nMusic, General\nNatural Sciences\nOccupational Health and Industrial Hygiene\nOccupational Safety and Health Technology/Technician\nOrnamental Horticulture\nParks, Recreation and Leisure Facilities Management, General\nParks, Recreation and Leisure Studies\nPhilosophy\nPhysical Education Teaching and Coaching\nPhysical Therapy/Therapist\nPhysics, General\nPlant Sciences, General\nPolitical Science and Government, General\nPre-Law Studies\nPsychology, General\nPublic Administration\nPublic Relations/Image Management\nRadio and Television\nReal Estate\nRegistered Nursing/Registered Nurse\nReligion/Religious Studies\nRhetoric and Composition\nSocial Work\nSociology\nSpanish Language and Literature\nSpeech Communication and Rhetoric\nWomen's Studies""]",356,"{""avg_gpa"":-1,""sat_math"":{""avg"":-1,""lrange"":-1,""rrange"":-1},""sat_ebrw"":{""avg"":-1,""lrange"":-1,""rrange"":-1},""act_composite"":{""avg"":-1,""lrange"":""16"",""rrange"":""21""}}",,NaN,Public,15772
,"California State University, East Bay",12998,11812.619999999999,0.74,-1,25099,38071,"Hayward, CA","[""Anthropology\nArt History, Criticism and Conservation\nArt/Art Studies, General\nAudiology/Audiologist and Speech-Language Pathology/Pathologist\nBiochemistry\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nChemistry, General\nCommunication Sciences and Disorders, General\nComputer Engineering, General\nComputer Science\nConstruction Management\nCriminal Justice/Law Enforcement Administration\nCriminal Justice/Police Science\nDance, General\nDrama and Dramatics/Theatre Arts, General\nEconomics, General\nEnglish Language and Literature, General\nEnvironmental Science\nEnvironmental Studies\nEthnic, Cultural Minority, Gender, and Group Studies, Other\nFine/Studio Arts, General\nFrench Language and Literature\nGeography"",""Geology/Earth Science, General\nHealth Professions and Related Clinical Sciences, Other\nHealth and Physical Education/Fitness, General\nHistory, General\nHospitality Administration/Management, Other\n Human Development and Family Studies, General\nIndustrial Engineering\nInternational Relations and Affairs\nKinesiology and Exercise Science\nLiberal Arts and Sciences/Liberal Studies\nMass Communication/Media Studies\nMathematics, General\nMulti-/Interdisciplinary Studies, General\nMulti-/Interdisciplinary Studies, Other\nMusic, General\nParks, Recreation and Leisure Studies\nPhilosophy\nPhysics, General\nPolitical Science and Government, General\nPsychology, General\nSociology\nSpanish Language and Literature\nSpeech Communication and Rhetoric\nStatistics, General""]",401-500,"{""avg_gpa"":3.2,""sat_math"":{""avg"":-1,""lrange"":""440"",""rrange"":""540""},""sat_ebrw"":{""avg"":""502"",""lrange"":""450"",""rrange"":""550""},""act_composite"":{""avg"":""19"",""lrange"":""16"",""rrange"":""21""}}",,0.1,Public,19149
,"California State University, Monterey Bay",6717,7329.57,0.59,-1,23363,35243,"Seaside, CA","[""Art/Art Studies, General\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nComputer and Information Sciences, Other\nDesign and Visual Communications, General\nEnvironmental Science\nEnvironmental Studies\nHealth and Physical Education/Fitness, General\nHuman Services, General\nHumanities/Humanistic Studies\nInternational Relations and Affairs\nJapanese Language and Literature"",""Liberal Arts and Sciences/Liberal Studies\nLinguistics\nMarine Sciences\nMathematics, General\nMulti-/Interdisciplinary Studies, Other\nMusic, General\nPsychology, General\nRadio and Television\nRegistered Nursing/Registered Nurse\nSocial Sciences, General\nSpanish Language and Literature""]",381,"{""avg_gpa"":3.39,""sat_math"":{""avg"":-1,""lrange"":""480"",""rrange"":""570""},""sat_ebrw"":{""avg"":""545"",""lrange"":""480"",""rrange"":""590""},""act_composite"":{""avg"":""20"",""lrange"":""17"",""rrange"":""23""}}",,0.27,Public,19962
,Campbell University,2934,2008.8,0.6,43710,-1,-1,"Buies Creek, NC","[""Accounting\nAccounting and Business/Management\nAccounting and Finance\nActing\nAdvertising\nArmy JROTC/ROTC\nArt/Art Studies, General\nAthletic Training/Trainer\nBiochemistry\nBiology Teacher Education\nBiology/Biological Sciences, General\nBroadcast Journalism\nBusiness Administration and Management, General\nBusiness/Commerce, General\nChemistry, General\nCommercial and Advertising Art\nCommunication and Media Studies, Other\nComputer and Information Sciences, General\nComputer and Information Sciences, Other\nCriminal Justice/Law Enforcement Administration\nDirecting and Theatrical Production\nDivinity/Ministry\nDrama and Dramatics/Theatre Arts, General\nEconomics, General\nEducation, General\nEducation, Other\nEducational Leadership and Administration, General\nElementary Education and Teaching\nElementary and Middle School Administration/Principalship\nEnglish Language and Literature, General\n Family and Consumer Sciences/Home Economics Teacher Education\nFamily and Consumer Sciences/Human Sciences, General\nFine/Studio Arts, General\nForeign Languages and Literatures, General\nFrench Language and Literature\nGeneral Studies\nGraphic Design\nHealth and Physical Education/Fitness, General\nHealth and Physical Education/Fitness, Other\nHistory Teacher Education\nHistory, General"",""Information Technology\nInternational Business/Trade/Commerce\nInternational Relations and Affairs\nJournalism\nJunior High/Intermediate/Middle School Education and Teaching\nKeyboard Instruments\nKinesiology and Exercise Science\nMarketing/Marketing Management, General\nMass Communication/Media Studies\nMathematics Teacher Education\nMathematics, General\nMusic Pedagogy\nMusic Performance, General\nMusic Teacher Education\nMusic Theory and Composition\nMusic, General\nPharmacy, Pharmaceutical Sciences, and Administration, Other\nPhysical Education Teaching and Coaching\nPolitical Science and Government, General\nPre-Dentistry Studies\nPre-Law Studies\nPre-Medicine/Pre-Medical Studies\nPre-Pharmacy Studies\nPre-Veterinary Studies\nPsychology, General\nPublic Administration\nPublic Relations, Advertising, and Applied Communication, Other\nRadio, Television, and Digital Communication, Other\nReligion/Religious Studies, Other\n Science Teacher Education/General Science Teacher Education\nSecondary Education and Teaching\nSocial Sciences, General\nSocial Studies Teacher Education\nSocial Work\nSpanish Language Teacher Education\nSpanish Language and Literature\nSpeech Communication and Rhetoric\nSport and Fitness Administration/Management\nTeacher Education, Multiple Levels\nTeaching French as a Second or Foreign Language\nTheatre/Theatre Arts Management""]",401-500,"{""avg_gpa"":3.4,""sat_math"":{""avg"":-1,""lrange"":-1,""rrange"":-1},""sat_ebrw"":{""avg"":-1,""lrange"":-1,""rrange"":-1},""act_composite"":{""avg"":-1,""lrange"":-1,""rrange"":-1}}",,0.3,Private non-profit,29975
,Carnegie Mellon University,6947,4139.67,0.17,74491,-1,-1,"Pittsburgh, PA","[""Actuarial Science\nApplied and Professional Ethics\nArchitectural and Building Sciences/Technology\nArchitecture\nArt/Art Studies, General\nAstrophysics\nBiology/Biological Sciences, General\nBiometry/Biometrics\nBiopsychology\nBusiness Administration and Management, General\nBusiness Administration, Management and Operations, Other\nChemical Engineering\nChemistry, General\nChemistry, Other\nCivil Engineering, General\nCognitive Science\nComputational Mathematics\nComputer Science\nComputer and Information Sciences, Other\nCreative Writing\nDesign and Applied Arts, Other\nDesign and Visual Communications, General\nDrama and Dramatics/Theatre Arts, General\nEconometrics and Quantitative Economics\nEconomics, General\nElectrical and Electronics Engineering\nElectrical, Electronic and Communications Engineering Technology/Technician\nEnglish Language and Literature, General\nEntrepreneurship/Entrepreneurial Studies\nFinance, General\nFinancial Mathematics\nHistory, Other"",""Industrial and Product Design\nInternational Business/Trade/Commerce\nInternational Relations and Affairs\nInternational/Global Studies\nLiberal Arts and Sciences/Liberal Studies\nLinguistics\nLogic\nMarketing/Marketing Management, General\nMaterials Science\nMathematical Statistics and Probability\nMathematics and Statistics, Other\nMathematics, General\nMathematics, Other\nMechanical Engineering\nMusic Performance, General\nMusic Technology\nMusic Theory and Composition\nMusic, Other\nNeurobiology and Neurosciences, Other\nNeuroscience\nOperations Management and Supervision\nPhilosophy\nPhysics, General\nProfessional, Technical, Business, and Scientific Writing\nPsychology, General\nPublic Policy Analysis, General\nScience, Technology and Society\nStatistics, General\nStringed Instruments\nSystems Science and Theory\nTheoretical and Mathematical Physics\nVoice and Opera""]",25,"{""avg_gpa"":3.84,""sat_math"":{""avg"":-1,""lrange"":""750"",""rrange"":""800""},""sat_ebrw"":{""avg"":-1,""lrange"":""700"",""rrange"":""750""},""act_composite"":{""avg"":""33"",""lrange"":""32"",""rrange"":""35""}}",,0.74,Private non-profit,27818
,Central Connecticut State University,9546,5295.01,0.67,-1,26861,38663,"New Britain, CT","[""Accounting\nAnthropology\nArt Teacher Education\nArt/Art Studies, General\nAthletic Training/Trainer\nBiochemistry\nBiology/Biological Sciences, General\nBusiness Administration and Management, General\nChemistry, General\nCivil Engineering, General\nComputer Engineering Technology/Technician\nComputer and Information Sciences, General\nComputer and Information Systems Security/Information Assurance\nConstruction Management\nCriminology\nDesign and Visual Communications, General\nDrama and Dance Teacher Education\nDrama and Dramatics/Theatre Arts, General\nEarly Childhood Education and Teaching\nEconomics, General\nElectrical, Electronic and Communications Engineering Technology/Technician\nElementary Education and Teaching\nEnglish Language and Literature, General\nFinance, General\nFrench Language and Literature\nGeography\n Geology/Earth Science, General\nGerman Language and Literature\nHistory, General\nHospitality Administration/Management, General\nIndustrial Technology/Technician\nInternational/Global Studies"",""Italian Language and Literature\nJournalism\nKindergarten/Preschool Education and Teaching\nKinesiology and Exercise Science\nManagement Information Systems, General\nManufacturing Engineering Technology/Technician\nMarketing/Marketing Management, General\nMass Communication/Media Studies\nMathematics, General\nMechanical Engineering\nMechanical Engineering/Mechanical Technology/Technician\nMolecular Biology\nMulti-/Interdisciplinary Studies, Other\nMusic Teacher Education\nMusic, General\nNetwork and System Administration/Administrator\nOperations Management and Supervision\nPhilosophy\nPhysical Education Teaching and Coaching\nPhysics, General\nPolitical Science and Government, General\nPsychology, General\nPublic Relations, Advertising, and Applied Communication\nRegistered Nursing/Registered Nurse\nRobotics Technology/Technician\nSocial Sciences, General\nSocial Work\nSociology\nSpanish Language and Literature\nTechnology Teacher Education/Industrial Arts Teacher Education\nWeb Page, Digital/Multimedia and Information Resources Design""]",401-500,"{""avg_gpa"":3.07,""sat_math"":{""avg"":-1,""lrange"":""480"",""rrange"":""580""},""sat_ebrw"":{""avg"":""545"",""lrange"":""500"",""rrange"":""590""},""act_composite"":{""avg"":""22"",""lrange"":""19"",""rrange"":""24""}}",,0.26,Public,29728
,Centre College,1450,1865.04,0.76,55420,-1,-1,"Danville, KY","[""Art History, Criticism and Conservation\nBiochemistry and Molecular Biology\nBiology/Biological Sciences, General\nChemical Physics\nChemistry, General\nClassics and Classical Languages, Literatures, and Linguistics, General\nComputer Science\nDrama and Dramatics/Theatre Arts, General\nEconomics, General\nEconomics, Other\nEnglish Language and Literature, General\nEnvironmental Studies\nFine/Studio Arts, General\nFrench Language and Literature"",""German Language and Literature\nHistory, General\nInternational/Global Studies\nLiberal Arts and Sciences, General Studies and Humanities, Other\nMathematics, General\nMusic, General\nPhilosophy\nPhysics, General\nPhysiological Psychology/Psychobiology\nPolitical Science and Government, General\nPsychology, General\nReligion/Religious Studies\nSociology and Anthropology\nSpanish Language and Literature""]",224,"{""avg_gpa"":3.63,""sat_math"":{""avg"":-1,""lrange"":""580"",""rrange"":""730""},""sat_ebrw"":{""avg"":-1,""lrange"":""590"",""rrange"":""680""},""act_composite"":{""avg"":""29"",""lrange"":""26"",""rrange"":""31""}}",,0.8,Private non-profit,26313
